KEYWORD | VAR | 0
ID | 0 | 0
SEPARATOR | : | 0
KEYWORD | int | 0
SEPARATOR | ; | 0
ID | 1 | 1
SEPARATOR | : | 0
KEYWORD | int | 0
SEPARATOR | ; | 0
ID | 2 | 2
SEPARATOR | : | 0
KEYWORD | float | 0
SEPARATOR | ; | 0
ID | 3 | 3
SEPARATOR | : | 0
KEYWORD | int | 0
SEPARATOR | ; | 0
ID | 4 | 4
SEPARATOR | : | 0
KEYWORD | int | 0
SEPARATOR | ; | 0
KEYWORD | BEGIN | 0
KEYWORD | READ | 0
SEPARATOR | ( | 0
ID | 0 | 0
SEPARATOR | ) | 0
SEPARATOR | ; | 0
ID | 1 | 1
OPERATOR | := | 0
CONST | 5 | 5
SEPARATOR | ; | 0
ID | 2 | 2
OPERATOR | := | 0
CONST | 6 | 6
SEPARATOR | ; | 0
KEYWORD | WHILE | 0
ID | 1 | 1
OPERATOR | < | 0
ID | 0 | 0
KEYWORD | DO | 0
ID | 4 | 4
OPERATOR | := | 0
CONST | 7 | 7
SEPARATOR | ; | 0
ID | 3 | 3
OPERATOR | := | 0
CONST | 6 | 6
SEPARATOR | ; | 0
KEYWORD | WHILE | 0
ID | 3 | 3
OPERATOR | * | 0
ID | 3 | 3
OPERATOR | <= | 0
ID | 2 | 2
KEYWORD | DO | 0
KEYWORD | IF | 0
ID | 2 | 2
OPERATOR | % | 0
ID | 3 | 3
OPERATOR | = | 0
CONST | 5 | 5
KEYWORD | THEN | 0
ID | 4 | 4
OPERATOR | := | 0
CONST | 5 | 5
SEPARATOR | ; | 0
KEYWORD | END | 0
SEPARATOR | ; | 0
ID | 3 | 3
OPERATOR | := | 0
ID | 3 | 3
OPERATOR | + | 0
CONST | 7 | 7
SEPARATOR | ; | 0
KEYWORD | END | 0
SEPARATOR | ; | 0
KEYWORD | IF | 0
ID | 4 | 4
OPERATOR | = | 0
CONST | 7 | 7
KEYWORD | THEN | 0
KEYWORD | WRITE | 0
SEPARATOR | ( | 0
ID | 2 | 2
SEPARATOR | ) | 0
SEPARATOR | ; | 0
ID | 1 | 1
OPERATOR | := | 0
ID | 1 | 1
OPERATOR | + | 0
CONST | 7 | 7
SEPARATOR | ; | 0
KEYWORD | END | 0
SEPARATOR | ; | 0
ID | 2 | 2
OPERATOR | := | 0
ID | 2 | 2
OPERATOR | + | 0
CONST | 7 | 7
SEPARATOR | ; | 0
KEYWORD | END | 0
SEPARATOR | ; | 0
KEYWORD | END | 0
